1441638197, crayola_64_ct, left, 1, 1.59798598289, 26.7553489208, 48.6150360107, 16, 1, Reason
1441638492, crayola_64_ct, left, 1, 1.28915095329, 25.614456892, 45.7854371071, 1, 1, Reason
1441638838, crayola_64_ct, left, 1, 1.31071186066, 40.8429529667, 57.2715680599, 14, 1, Reason
1441639069, crayola_64_ct, left, 1, 3.34414100647, 26.513532877, 53.3172230721, 28, 1, Reason
1441639156, crayola_64_ct, left, 1, 1.38916993141, 26.513532877, 60.5553061962, 1, 0, Unable to execute motion out of bin.
1441639454, crayola_64_ct, left, 2, 2.16570806503, 27.6190268993, 49.009444952, 1, 1, Reason
1441639559, crayola_64_ct, left, 2, 1.93816590309, 21.6013531685, 42.1930091381, 3, 1, Reason
1441639645, crayola_64_ct, left, 2, 2.03644585609, 33.728356123, 54.6075699329, 1, 0, Physical fumble.
1441639968, crayola_64_ct, left, 2, 0.281602859497, 27.0220379829, 46.1196670532, 1, 0, Physical fumble.
1441640119, crayola_64_ct, left, 2, 1.98230409622, 28.7197048664, 50.2087960243, 1, 0, Physical fumble.
1441640255, crayola_64_ct, left, 3, 2.58120012283, 51.1341619492, 74.5947849751, 16, 1, Reason
1441640399, crayola_64_ct, left, 3, 10.3443920612, 27.5879740715, 60.8164288998, 120, 0, Physical fumble.
1441640721, crayola_64_ct, left, 3, 6.74054288864, 26.4493701458, 55.4665188789, 75, 0, Physical fumble.
1441640837, crayola_64_ct, left, 3, 20.9142739773, 27.465416193, 70.5716118813, 208, 0, Physical fumble.
1441640938, crayola_64_ct, left, 3, 3.68238115311, 23.0927729607, 44.296241045, 39, 1, Reason
1441641086, crayola_64_ct, left, 4, 3.30802488327, 54.4096300602, 80.6045119762, 33, 1, Reason
1441641516, crayola_64_ct, left, 4, 11.9265120029, 54.4706292152, 89.2798550129, 142, 1, Reason
1441641867, crayola_64_ct, left, 4, 20.1758182049, 65.4675009251, 108.546226025, 221, 1, Reason
1441642191, crayola_64_ct, left, 4, 29.5428848267, 53.8736610413, 127.179977894, 318, 1, Reason
1441642379, crayola_64_ct, left, 4, 17.2360370159, 53.9105839729, 92.7248661518, 187, 1, Reason
1441642538, crayola_64_ct, left, 5, 31.2650852203, 53.9105839729, 99.2612800598, 3, 0, Failure to move to order bin.
1441642694, crayola_64_ct, left, 5, 0.918240070343, 29.293364048, 51.5119760036, 1, 1, Reason
1441643220, crayola_64_ct, left, 5, 5.00291419029, 23.1054899693, 43.249175787, 5, 1, Reason
1441643308, crayola_64_ct, left, 5, 4.88143205643, 28.8874928951, 51.8394818306, 2, 1, Reason
1441643389, crayola_64_ct, left, 5, 0.281358957291, 25.0212430954, 47.0971159935, 1, 0, Physical fumble.
1441643514.53, crayola_64_ct, left, 6, -1, -1, 41.4126758575, 326, 0, Failed to compute a valid grasp
1441643598.77, crayola_64_ct, left, 6, -1, -1, 41.6172378063, 326, 0, Failed to compute a valid grasp
1441643653.1, crayola_64_ct, left, 6, -1, -1, 41.5470190048, 326, 0, Failed to compute a valid grasp
1441643719.33, crayola_64_ct, left, 6, -1, -1, 42.0872750282, 326, 0, Failed to compute a valid grasp
1441643773.15, crayola_64_ct, left, 6, -1, -1, 42.1159660816, 326, 0, Failed to compute a valid grasp
