1441747718, elmers_washable_no_run_school_glue, right, 1, 1.57748007774, 22.1755189896, 49.203635931, 7, 0, Physical fumble
1441747926, elmers_washable_no_run_school_glue, right, 1, 1.84068393707, 26.1159749031, 52.8859331608, 21, 1, Reason
1441748827, elmers_washable_no_run_school_glue, right, 1, 3.14400219917, 60.6678190231, 89.4908630848, 11, 1, Reason
1441748955, elmers_washable_no_run_school_glue, right, 1, 0.680238008499, 23.8336238861, 49.6325831413, 7, 0, Physical fumble
1441750023, elmers_washable_no_run_school_glue, right, 1, 1.52088403702, 27.280962944, 55.387868166, 17, 0, Physical fumble
1441750334, elmers_washable_no_run_school_glue, right, 2, -1, -1, 30.8912138939, 308, 0, Failed to compute a valid grasp
1441750381, elmers_washable_no_run_school_glue, right, 2, -1, -1, 30.3316810131, 308, 0, Failed to compute a valid grasp
1441750428, elmers_washable_no_run_school_glue, right, 2, -1, -1, 30.3990180492, 308, 0, Failed to compute a valid grasp
1441750444, elmers_washable_no_run_school_glue, right, 2, -1, -1, 30.8912138939, 308, 0, Failed to compute a valid grasp
1441750451, elmers_washable_no_run_school_glue, right, 2, -1, -1, 30.3316810131, 308, 0, Failed to compute a valid grasp
1441750493, elmers_washable_no_run_school_glue, right, 3, 4.68455004692, 41.1102979183, 70.2641851902, 31, 0, Physical fumble
1441750640, elmers_washable_no_run_school_glue, right, 3, 4.38610887527, 26.1477179527, 55.5940499306, 60, 1, Reason
1441750726, elmers_washable_no_run_school_glue, right, 3, 8.16360592842, 26.1750791073, 58.9385230541, 115, 1, Reason
1441750804, elmers_washable_no_run_school_glue, right, 3, 2.83170104027, 26.1347970963, 53.488560915, 39, 1, Reason
1441750884, elmers_washable_no_run_school_glue, right, 3, 1.0952911377, 26.0636818409, 52.0287079811, 11, 1, Reason
1441751245, elmers_washable_no_run_school_glue, right, 4, 9.58708500862, 59.9614360332, 96.0049529076, 18, 1, Reason
1441751521, elmers_washable_no_run_school_glue, right, 4, 5.1742579937, 23.9779729843, 51.767182827, 57, 1, Reason
1441751844, elmers_washable_no_run_school_glue, right, 4, 13.0240831375, 22.7936549187, 58.8372302055, 40, 1, Reason
1441752154, elmers_washable_no_run_school_glue, right, 4, 46.115334034, 44.5988709927, 115.262316942, 71, 0, Physical fumble
1441752300, elmers_washable_no_run_school_glue, right, 4, 1.77882885933, 22.7801530361, 47.727232933, 8, 1, Reason
1441752405, elmers_washable_no_run_school_glue, right, 5, -1, -1, 29.6586461067, 308, 0, Failed to compute a valid grasp
1441752456, elmers_washable_no_run_school_glue, right, 5, -1, -1, 36.5989999771, 308, 0, Failed to compute a valid grasp
1441752512, elmers_washable_no_run_school_glue, right, 5, -1, -1, 29.1423671246, 308, 0, Failed to compute a valid grasp
1441752569, elmers_washable_no_run_school_glue, right, 5, -1, -1, 29.6586461067, 308, 0, Failed to compute a valid grasp
1441752601, elmers_washable_no_run_school_glue, right, 5, -1, -1, 29.1423671246, 308, 0, Failed to compute a valid grasp
1441752622, elmers_washable_no_run_school_glue, right, 6, 14.0529048443, 22.3783872128, 59.4563500881, 180, 1, Reason
1441752700, elmers_washable_no_run_school_glue, right, 6, 9.14136004448, 22.1456170082, 54.2477490902, 71, 1, Reason
1441752777, elmers_washable_no_run_school_glue, right, 6, 8.00066184998, 19.8070681095, 52.3044350147, 70, 0, Physical fumble
1441752862, elmers_washable_no_run_school_glue, right, 6, 13.09613204, 19.7913038731, 56.680546999, 100, 0, Physical fumble
1441752929, elmers_washable_no_run_school_glue, right, 6, 4.6862719059, 20.0394659042, 48.4106538296, 23, 0, Physical fumble
