1441655318, munchkin_white_hot_duck_bath_toy, left, 1, 3.09099698067, 52.8704299927, 71.3164291382, 12, 0, Physical fumble
1441655424, munchkin_white_hot_duck_bath_toy, left, 1, 2.29956507683, 37.0337588787, 55.0120739937, 15, 0, Physical fumble
1441655544, munchkin_white_hot_duck_bath_toy, left, 1, 2.64328384399, 36.0950071812, 59.4193851948, 17, 0, Physical fumble
1441655636, munchkin_white_hot_duck_bath_toy, left, 1, 4.82444596291, 27.4654860497, 49.6556169987, 7, 0, Physical fumble
1441655714, munchkin_white_hot_duck_bath_toy, left, 1, 3.36541008949, 46.3778948784, 66.1112411022, 3, 0, Physical fumble
1441655922, munchkin_white_hot_duck_bath_toy, left, 2, 0.277075052261, 22.6403119564, 38.1747739315, 1, 0, Physical fumble
1441656018, munchkin_white_hot_duck_bath_toy, left, 2, 0.276260137558, 21.3642959595, 37.8562829494, 1, 0, Physical fumble
1441656100, munchkin_white_hot_duck_bath_toy, left, 2, 0.39332985878, 21.8530931473, 38.5156838894, 2, 0, Physical fumble
1441656163, munchkin_white_hot_duck_bath_toy, left, 2, 3.18978500366, 31.5254487991, 51.7058939934, 4, 0, Physical fumble
1441656240, munchkin_white_hot_duck_bath_toy, left, 2, 0.721465110779, 23.5878601074, 39.6930081844, 5, 0, Physical fumble
1441656333, munchkin_white_hot_duck_bath_toy, left, 3, 2.36265182495, 41.4556660652, 59.4290549755, 29, 0, Physical fumble
1441656443, munchkin_white_hot_duck_bath_toy, left, 3, 2.07634401321, 57.345872879, 82.1969611645, 16, 0, Physical fumble
1441656555, munchkin_white_hot_duck_bath_toy, left, 3, 0.923225164413, 37.0728058815, 53.9433460236, 8, 0, Physical fumble
1441656659, munchkin_white_hot_duck_bath_toy, left, 3, 0.439979076385, 32.3001430035, 51.7899699211, 3, 0, Physical fumble
1441657085, munchkin_white_hot_duck_bath_toy, left, 3, 2.50904607773, 49.3501508236, 68.9344420433, 12, 0, Physical fumble
1441657820, munchkin_white_hot_duck_bath_toy, left, 4, 7.84557986259, 26.2510139942, 61.3237290382, 57, 0, Physical fumble
1441657907, munchkin_white_hot_duck_bath_toy, left, 4, 4.39041805267, 34.544315815, 62.6354589462, 41, 0, Physical fumble
1441658096, munchkin_white_hot_duck_bath_toy, left, 4, 3.56043696404, 37.3032259941, 68.5724461079, 35, 0, Physical fumble
1441658192, munchkin_white_hot_duck_bath_toy, left, 4, 2.09472799301, 23.7635929585, 47.2229890823, 12, 0, Physical fumble
1441658278, munchkin_white_hot_duck_bath_toy, left, 4, 5.76122188568, 26.6508500576, 50.6754808426, 61, 0, Physical fumble
1441658444, munchkin_white_hot_duck_bath_toy, left, 5, 0.471914052963, 22.9049470425, 40.7432999611, 4, 0, Physical fumble
1441658557, munchkin_white_hot_duck_bath_toy, left, 5, 20.1057200432, 21.9026169777, 59.0932929516, 16, 0, Physical fumble
1441658641, munchkin_white_hot_duck_bath_toy, left, 5, 21.9506039619, 21.8152530193, 60.7872281075, 36, 0, Physical fumble
1441658724, munchkin_white_hot_duck_bath_toy, left, 5, 19.338698864, 21.764067173, 58.5263330936, 17, 0, Physical fumble
1441658831, munchkin_white_hot_duck_bath_toy, left, 5, 1.48212099075, 22.416105032, 40.5238399506, 15, 0, Physical fumble
1441658916, munchkin_white_hot_duck_bath_toy, left, 6, 3.98097896576, 51.8589920998, 76.2602980137, 27, 0, Physical fumble
1441659015, munchkin_white_hot_duck_bath_toy, left, 6, 3.96019506454, 33.8635518551, 61.1441121101, 29, 0, Physical fumble
1441659245, munchkin_white_hot_duck_bath_toy, left, 6, 5.03837013245, 26.3127019405, 53.9156007767, 46, 0, Physical fumble
1441659534, munchkin_white_hot_duck_bath_toy, left, 6, 7.71398997307, 51.4342579842, 79.5217759609, 72, 0, Physical fumble
1441659643, munchkin_white_hot_duck_bath_toy, left, 6, 5.02041602135, 44.3398249149, 71.6913909912, 42, 0, Physical fumble
